CODIGO,clust
764000001000000010440000000000,1
764000001000000010442000000000,1
764000001000000010443000000000,1
764000001000000010444000000000,1
764000001000000010445000000000,1
764000001000000010446000000000,1
764000001000000010447000000000,1
764000001000000010450000000000,1
764000001000000010452000000000,1
764000001000000010453000000000,1
764000001000000010454000000000,1
764000001000000010455000000000,1
764000001000000010456000000000,1
764000001000000010457000000000,1
764000001000000010458000000000,1
764000001000000010459000000000,1
764000001000000010460000000000,1
764000001000000010461000000000,1
764000001000000010462000000000,1
764000001000000010463000000000,1
764000001000000010464000000000,1
764000001000000010467000000000,1
764000001000000010468000000000,1
764000001000000010469000000000,2
764000001000000010470000000000,1
764000001000000010471000000000,1
764000001000000010472000000000,1
764000001000000010474000000000,1
764000001000000010476000000000,1
764000001000000010477000000000,1
764000001000000010478000000000,1
764000001000000010479000000000,1
764000001000000010480000000000,1
764000001000000010481000000000,1
764000001000000010482000000000,1
764000001000000010483000000000,1
764000001000000010484000000000,1
764000001000000010485000000000,1
764000001000000010486000000000,1
764000001000000010487000000000,1
764000001000000010488000000000,1
764000001000000010489000000000,1
764000001000000010490000000000,1
764000001000000010491000000000,1
764000001000000010492000000000,1
764000001000000010493000000000,1
764000001000000010494000000000,1
764000001000000010495000000000,1
764000001000000010496000000000,1
764000001000000010497000000000,1
764000001000000010498000000000,1
764000001000000010500000000000,1
764000001000000010501000000000,1
764000001000000010502000000000,1
764000001000000010503000000000,1
764000001000000010504000000000,1
764000001000000010505000000000,1
764000001000000010506000000000,1
764000001000000010507000000000,1
764000001000000010508000000000,1
764000001000000010509000000000,1
764000001000000010510000000000,1
764000001000000010512000000000,1
764000001000000010513000000000,1
764000001000000010514000000000,1
764000001000000010515000000000,1
764000001000000010516000000000,1
764000001000000010517000000000,1
764000001000000010518000000000,1
764000001000000010519000000000,1
764000001000000010520000000000,1
764000001000000010521000000000,1
764000001000000010524000000000,1
764000001000000010525000000000,1
764000001000000019999000000000,1
764000001000000020003000000000,2
764000001000000020005000000000,2
764000001000000020006000000000,2
764000001000000020008000000000,2
764000001000000020009000000000,2
764000001000000020010000000000,2
764000001000000020011000000000,2
764000001000000020012000000000,2
764000001000000020013000000000,2
764000001000000020014000000000,3
764000001000000020015000000000,2
764000001000000020016000000000,2
764000001000000020019000000000,2
764000001000000020021000000000,1
764000001000000020022000000000,1
764000001000000020023000000000,2
764000001000000020024000000000,2
764000001000000020025000000000,2
764000001000000020026000000000,2
764000001000000020027000000000,2
764000001000000020028000000000,2
764000001000000020030000000000,2
764000001000000020031000000000,2
764000001000000020034000000000,2
764000001000000020035000000000,2
764000001000000020036000000000,2
764000001000000020038000000000,1
764000001000000020039000000000,2
764000001000000020040000000000,2
764000001000000020043000000000,2
764000001000000020047000000000,2
764000001000000020048000000000,2
764000001000000020049000000000,2
764000001000000020050000000000,2
764000001000000020052000000000,1
764000001000000020056000000000,1
764000001000000020057000000000,1
764000001000000020059000000000,1
764000001000000020061000000000,1
764000001000000020062000000000,1
764000001000000020069000000000,2
764000001000000020070000000000,2
764000001000000020071000000000,2
764000001000000020072000000000,2
764000001000000020073000000000,1
764000001000000020074000000000,1
764000001000000020075000000000,1
764000001000000020076000000000,1
764000001000000020077000000000,1
764000001000000020078000000000,1
764000001000000020079000000000,1
764000001000000020080000000000,1
764000001000000020083000000000,1
764000001000000020084000000000,1
764000001000000020085000000000,1
764000001000000020088000000000,1
764000001000000020089000000000,1
764000001000000020090000000000,1
764000001000000020096000000000,1
764000001000000020097000000000,1
764000001000000020100000000000,1
764000001000000020101000000000,1
764000001000000020102000000000,1
764000001000000020106000000000,1
764000001000000020107000000000,1
764000001000000020108000000000,1
764000001000000020110000000000,1
764000001000000020111000000000,1
764000001000000020112000000000,1
764000001000000020114000000000,1
764000001000000020115000000000,1
764000001000000020116000000000,1
764000001000000020117000000000,1
764000001000000020119000000000,1
764000001000000020120000000000,1
764000001000000020122000000000,1
